Criterion,MaxDepth,Avg_Train_Accuracy,Avg_Test_Accuracy,Avg_Tree_Depth,Avg_Num_Nodes
IG,0,1,0.99,2,5
IG,1,0.691667,0.565,1,3
IG,2,1,0.985,2,5
IG,3,1,0.985,2,5
IG,4,1,0.99,2,5
IG,5,1,0.983333,2,5
