Criterion,MaxDepth,Avg_Train_Accuracy,Avg_Test_Accuracy,Avg_Tree_Depth,Avg_Num_Nodes
IGR,0,1,0.986667,2,5
IGR,1,0.680833,0.606667,1,3
IGR,2,1,0.983333,2,5
IGR,3,1,0.988333,2,5
IGR,4,1,0.986667,2,5
IGR,5,1,0.99,2,5
