Criterion,MaxDepth,Avg_Train_Accuracy,Avg_Test_Accuracy,Avg_Tree_Depth,Avg_Num_Nodes
IG,1,0.760704,0.760774,1,7
IG,2,0.829679,0.829015,2,58.95
IG,3,0.845973,0.841729,3,282.4
IG,4,0.852447,0.842205,4,907.45
IG,5,0.866648,0.838791,5,1898.6
IG,7,0.894793,0.828867,7,4176.4
IG,9,0.918355,0.820161,9,6164.5
IG,11,0.93783,0.813594,11,7780.6
IG,13,0.953424,0.809663,13,9046.2
IG,15,0.965747,0.805088,15,10107
