Criterion,MaxDepth,Avg_Train_Accuracy,Avg_Test_Accuracy,Avg_Tree_Depth,Avg_Num_Nodes
NWIG,1,0.760535,0.761449,1,7
NWIG,2,0.82492,0.821937,2,19
NWIG,3,0.844448,0.845619,3,45
NWIG,4,0.845721,0.843321,4,90.55
NWIG,5,0.8529,0.85194,5,167.65
NWIG,7,0.863718,0.852687,7,668.8
NWIG,9,0.882168,0.85194,9,1883.8
NWIG,11,0.901797,0.841442,11,3507.2
NWIG,13,0.92206,0.831559,13,5210.75
NWIG,15,0.939717,0.824066,15,6689.25
