Criterion,MaxDepth,Avg_Train_Accuracy,Avg_Test_Accuracy,Avg_Tree_Depth,Avg_Num_Nodes
NWIG,0,1,0.988333,2,5
NWIG,1,0.681667,0.6,1,3
NWIG,2,1,0.991667,2,5
NWIG,3,1,0.988333,2,5
NWIG,4,1,0.99,2,5
NWIG,5,1,0.985,2,5
