Criterion,MaxDepth,Avg_Train_Accuracy,Avg_Test_Accuracy,Avg_Tree_Depth,Avg_Num_Nodes
IGR,1,0.801623,0.801638,1,3
IGR,2,0.810622,0.810666,2,7
IGR,3,0.817693,0.816506,3,13
IGR,4,0.825108,0.825079,4,25.4
IGR,5,0.827652,0.826784,5,46.35
IGR,7,0.834163,0.833146,7,106.25
IGR,9,0.838218,0.836027,9,209.2
IGR,11,0.849811,0.842425,11,403.4
IGR,13,0.855664,0.847825,13,665.85
IGR,15,0.866428,0.853337,15,952.2
