Experiment_Type,Heuristic_AI1,Depth_AI1,Heuristic_AI2,Depth_AI2,AI1_Win_Rate,Avg_Game_Duration_Seconds,Total_Game_Time_Seconds,Num_Games
AI_vs_AI,4,1,3,1,0.0,0.0,0.0,10
AI_vs_AI,4,2,3,2,0.0,1.8,18.4,10
AI_vs_AI,4,3,3,3,0.0,19.5,194.8,10
AI_vs_AI,4,1,5,1,0.0,0.0,0.0,10
AI_vs_AI,4,2,5,2,0.0,1.4,14.4,10
AI_vs_AI,4,3,5,3,0.0,15.5,154.9,10
Random_vs_AI,1,3,-1,-1,100.0,6.2,61.5,10
Random_vs_AI,2,3,-1,-1,70.0,11.8,118.4,10
Random_vs_AI,3,3,-1,-1,100.0,13.3,132.9,10
Random_vs_AI,4,3,-1,-1,100.0,12.5,124.9,10
Random_vs_AI,5,3,-1,-1,100.0,11.3,113.0,10
Random_vs_AI,6,3,-1,-1,100.0,41.1,411.1,10
Random_vs_AI,7,3,-1,-1,100.0,19.8,198.4,10
